mem\cpu,0,1,2,3,4,5,6,7
0,60.08,59.85,59.94,59.89,41.18,41.29,41.24,41.27,
1,59.92,60.14,59.78,59.92,41.36,41.34,41.40,41.40,
2,59.92,59.81,60.03,59.93,41.23,41.24,41.10,41.14,
3,59.84,59.89,59.80,60.01,41.13,41.26,41.29,41.29,
4,40.98,40.96,41.00,41.00,59.95,59.81,59.87,59.79,
5,41.39,41.33,41.35,41.36,60.06,60.07,59.93,59.97,
6,41.14,41.13,41.14,41.15,59.93,59.82,59.97,59.88,
7,41.16,41.24,41.26,41.26,59.80,59.94,59.83,60.03,
