mem\cpu,0,1,2,3,4,5,6,7
0,60.72,60.39,60.40,60.46,41.66,41.67,41.60,41.63,
1,60.44,60.81,60.40,60.55,41.55,41.56,41.66,41.69,
2,60.47,60.40,60.75,60.30,41.61,41.57,41.58,41.60,
3,60.44,60.49,60.37,60.75,41.54,41.52,41.53,41.48,
4,41.27,41.23,41.25,41.28,60.68,60.32,60.45,60.42,
5,41.64,41.63,41.64,41.65,60.63,60.85,60.51,60.64,
6,41.51,41.54,41.51,41.55,60.52,60.45,60.74,60.37,
7,41.52,41.51,41.47,41.50,60.55,60.58,60.36,60.71,
