mem\cpu,0,1,2,3,4,5,6,7
0,60.73,60.31,60.39,60.31,41.53,41.57,41.52,41.55,
1,60.54,60.81,60.42,60.44,41.51,41.63,41.63,41.61,
2,60.46,60.34,60.74,60.34,41.46,41.50,41.46,41.52,
3,60.37,60.44,60.36,60.75,41.44,41.46,41.50,41.52,
4,41.50,41.50,41.44,41.48,60.76,60.45,60.45,60.44,
5,41.49,41.48,41.47,41.46,60.42,60.76,60.28,60.44,
6,41.49,41.53,41.49,41.53,60.50,60.52,60.74,60.49,
7,41.66,41.71,41.50,41.64,60.44,60.55,60.48,60.77,
