mem\cpu,0,1,2,3,4,5,6,7
0,971.48,966.73,963.45,954.60,960.91,966.12,962.42,961.79,
1,967.08,973.79,956.93,961.53,963.10,961.92,964.02,965.42,
2,961.51,955.42,974.95,967.45,965.20,964.46,963.38,962.73,
3,954.86,963.70,966.63,972.88,963.53,964.02,960.90,962.83,
4,963.30,963.18,965.81,963.30,976.15,966.48,962.98,951.90,
5,962.52,965.13,961.77,963.14,967.54,975.00,952.12,963.27,
6,963.11,962.86,965.06,963.06,960.90,953.67,973.23,967.10,
7,963.06,963.15,963.44,963.45,955.42,962.63,966.82,974.39,
