mem\cpu,0,1,2,3,4,5,6,7
0,974.57,966.06,963.96,955.38,965.99,963.62,963.97,962.51,
1,966.36,975.85,954.66,963.66,964.98,965.43,961.74,960.17,
2,962.01,954.80,973.93,964.50,963.97,964.64,963.53,964.40,
3,951.25,961.44,966.98,974.78,965.77,963.82,964.56,962.81,
4,962.72,963.24,964.61,965.44,973.86,967.58,962.26,950.59,
5,963.16,963.62,963.65,965.47,967.28,965.13,956.61,963.35,
6,962.13,963.62,964.68,959.65,964.43,953.67,974.53,963.90,
7,963.53,960.54,965.48,964.97,956.31,961.50,966.47,973.81,
